date,venue_id,race_no,frame_no,car_no,name_kanji,racer_id,age,prefecture,term,grade,style,gear,score,first_places,second_places,third_places,outs,win_rate,top2_rate,top3_rate,style_escape,style_sprint,style_chase,style_other,start_number,back_number,recent_place1,recent_date1,recent_result1_1,recent_result1_2,recent_result1_3,recent_result1_4,recent_place2,recent_date2,recent_result2_1,recent_result2_2,recent_result2_3,recent_result2_4,recent_place3,recent_date3,recent_result3_1,recent_result3_2,recent_result3_3,recent_result3_4,comment,line_id,line_pos
2025-05-31,12,7,1,1,石口　慶多,14949,36,兵庫,103,Ａ１,両,3.93,92.67,10,5,1,8,41.67,62.5,66.67,1,9,3,2,0,4,青森,05/31,,,,,京王閣,05/24,初6,準5,特1,,福井,05/14,初3,準2,決2,,自力,1,1
2025-05-31,12,7,2,2,杉山　悠也,13994,41,秋田,89,Ａ１,追,3.93,90.29,2,3,1,8,14.29,35.71,42.86,0,0,3,2,0,0,青森,05/31,,,,,熊本,05/13,初6,準4,特2,,京王閣,05/04,,,,,比佐君,3,2
2025-05-31,12,7,3,3,大矢　将大,13407,46,埼玉,81,Ａ１,追,3.92,92.39,1,4,7,6,5.56,27.78,66.67,0,0,3,2,3,0,青森,05/31,,,,,京王閣,05/24,初5,準2,決5,,弥彦,05/01,初3,準2,決4,,東北勢へ,3,3
2025-05-31,12,7,4,4,山田　裕哉,14671,39,岐阜,98,Ａ１,追,3.92,90.91,1,3,2,5,9.09,36.36,54.55,0,0,2,2,1,0,青森,05/31,,,,,函館,05/14,,,,,静岡,04/10,初4,準7,,,中近３番手,1,3
2025-05-31,12,7,5,5,小谷　　実,14313,38,京都,93,Ａ１,追,3.92,93.67,3,6,7,2,16.67,50,88.89,0,0,3,6,7,0,青森,05/31,,,,,奈良,05/23,初2,準3,特2,,岸和田,05/04,初1,準2,決3,,石口君,1,2
2025-05-31,12,7,6,6,吉永　好宏,13353,50,広島,80,Ａ１,追,3.92,90.29,1,1,1,5,12.5,25,37.5,0,0,2,0,0,0,青森,05/31,,,,,玉野,05/23,,,,,防府,04/07,初4,,,,決めずにやる,2,1
2025-05-31,12,7,6,7,比佐　宝太,15602,24,福島,121,Ａ１,逃,3.92,92.96,6,6,4,8,25,50,66.67,9,2,1,0,8,14,青森,05/31,,,,,京王閣,05/24,初3,準2,決6,,小松島,05/14,初3,準4,特4,,自力,3,1
2025-05-31,23,1,1,1,西田　優大,15731,27,広島,123,Ｓ２,逃,3.92,104.79,2,1,3,8,14.29,21.43,42.86,2,0,1,0,1,9,取手,05/31,,,,,平塚,05/10,一1,二8,特5,特8,福井,05/02,予3,準2,決4,,自力。,1,1
2025-05-31,23,1,2,2,須永　優太,14358,36,福島,94,Ｓ２,追,3.92,106.46,6,7,5,8,23.08,50,69.23,0,0,8,5,3,0,取手,05/31,,,,,平塚,05/10,一5,二2,準7,特2,福井,05/02,予1,準4,特3,,鈴木君。,2,2
2025-05-31,23,1,3,3,浮島　知稀,15694,24,群馬,123,Ｓ２,逃,3.92,99.73,3,3,2,7,20,40,53.33,1,5,0,0,1,5,取手,05/31,,,,,京王閣,05/24,予2,準7,特2,,川崎,05/15,予6,般4,般3,,自力。,3,1
