date,venue_id,race_no,frame_no,car_no,name_kanji,racer_id,age,prefecture,term,grade,style,gear,score,first_places,second_places,third_places,outs,win_rate,top2_rate,top3_rate,style_escape,style_sprint,style_chase,style_other,start_number,back_number,recent_place1,recent_date1,recent_result1_1,recent_result1_2,recent_result1_3,recent_result1_4,recent_place2,recent_date2,recent_result2_1,recent_result2_2,recent_result2_3,recent_result2_4,recent_place3,recent_date3,recent_result3_1,recent_result3_2,recent_result3_3,recent_result3_4,comment,line_id,line_pos,race_grade,class_name
2025-06-01,44,5,3,3,井寺　亮太,15238,33,長崎,113,Ａ２,両,3.92,84.67,4,2,3,15,16.67,25.0,37.5,3,1,2,0,1,4,大垣,05/30,予5,般5,,,高知,05/17,予7,般1,特4,,静岡,04/16,予1,準6,特5,,緒方君の番手。,3,2,F2,特一般
2025-06-01,44,5,4,4,梶原　大地,15557,28,福岡,119,Ａ２,逃,3.92,81.9,5,2,1,22,16.67,23.33,26.67,4,3,0,0,2,16,大垣,05/30,予3,準7,,,小倉,05/08,予7,般6,般1,,宇都宮,05/01,予1,準5,特7,,自力です。,2,1,F2,特一般
2025-06-01,44,5,5,5,緒方慎太朗,15387,26,熊本,115,Ａ１,逃,3.92,81.23,4,5,1,16,15.38,34.62,38.46,5,4,0,0,0,13,大垣,05/30,予7,般6,,,高松,05/21,予5,般2,般1,,青森,05/07,予7,般2,特2,,自力です。,3,1,F2,特一般
2025-06-01,44,5,6,6,檀　　雄二,12321,57,福岡,66,Ａ２,追,3.92,78.64,0,0,3,22,0.0,0.0,12.0,0,0,0,0,0,0,大垣,05/30,予5,般3,,,岸和田,05/18,予6,般6,般3,,佐世保,05/01,予4,抜6,般6,,福岡の三番手。,2,3,F2,特一般
2025-06-01,44,5,6,7,高山　雄丞,15126,32,愛媛,109,Ａ２,両,3.92,82.15,4,1,3,19,14.81,18.52,29.63,0,3,1,1,3,3,大垣,05/30,予5,般2,,,四日市,05/23,予1,準6,特3,,小倉,05/08,予6,般1,特7,,自力です。,1,1,F2,特一般
2025-06-01,44,6,1,1,中原　恭恵,15862,38,広島,126,Ｌ１,両,3.79,45.79,1,1,2,25,3.45,6.9,13.79,0,2,0,0,1,3,大垣,05/30,予7,予5,,,高松,05/05,般3,,,,函館,05/02,予6,予6,般7,,いける所から。,2,1,F2,ガ一般
2025-06-01,44,6,2,2,篠崎　新純,14910,40,千葉,102,Ｌ１,両,3.77,50.08,0,5,4,15,0.0,20.83,37.5,0,1,0,4,12,1,大垣,05/30,予6,予3,,,奈良,05/23,予2,予2,決5,,西武園,05/05,予6,予4,般5,,積極的に自在で。,1,1,F2,ガ一般
2025-06-01,44,6,3,3,布居　　光,15496,24,和歌,118,Ｌ１,両,3.77,47.14,0,1,2,18,0.0,4.76,14.29,0,0,0,1,2,2,大垣,05/30,予6,予6,,,岸和田,05/09,予4,予4,般2,,岐阜,04/25,予１,Ｃ6,予２,Ｃ6,自力自在にいく。,3,1,F2,ガ一般
2025-06-01,44,6,4,4,田中　月菜,15503,24,佐賀,118,Ｌ１,両,3.77,49.9,1,2,5,13,4.76,14.29,38.1,0,1,1,1,4,3,大垣,05/30,予3,予5,,,武雄,05/20,予6,予3,般3,,熊本,05/13,,,,,自力自在にいく。,5,1,F2,ガ一般
2025-06-01,44,6,5,5,萩原　瑞生,15670,29,群馬,122,Ｌ１,追,3.77,44.69,0,0,0,14,0.0,0.0,0.0,0,0,0,0,0,2,大垣,05/30,予5,予7,,,高松,05/21,予6,予7,般6,,岐阜,04/25,,,,,流れ見て。,6,1,F2,ガ一般
