date,venue_name,venue_id
20120425,久留米,83
20120425,別府,86
20120425,広島,62
20120425,四日市,48
20120425,松山,75
20120425,和歌山,55
20120425,岐阜,43
20120425,高知,74
20120426,広島,62
20120426,和歌山,55
20120426,別府,86
20120426,四日市,48
20120426,高知,74
20120427,名古屋,42
20120427,函館,11
20120428,函館,11
20120428,名古屋,42
20120429,函館,11
20120429,名古屋,42
20120430,名古屋,42
20120501,岐阜,43
20120501,熊本,87
20120501,広島,62
20120501,玉野,61
20120501,福井,51
20120501,静岡,38
20120501,松阪,47
20120502,岐阜,43
20120502,静岡,38
20120502,玉野,61
20120502,熊本,87
20120502,武雄,84
20120502,松阪,47
20120502,広島,62
20120502,福井,51
20120503,静岡,38
20120503,福井,51
20120503,高知,74
20120503,玉野,61
20120503,松阪,47
20120503,熊本,87
20120503,武雄,84
20120503,広島,62
20120503,岐阜,43
20120504,武雄,84
20120504,函館,11
20120504,平塚,35
20120504,岸和田,56
20120504,高知,74
20120505,高知,74
20120505,平塚,35
20120505,函館,11
20120505,岸和田,56
20120506,岸和田,56
20120506,平塚,35
20120506,名古屋,42
20120506,函館,11
20120507,平塚,35
20120507,名古屋,42
20120508,名古屋,42
20120508,福井,51
20120508,小倉,81
20120509,福井,51
20120509,大垣,44
20120509,防府,63
20120509,小倉,81
20120509,熊本,87
20120510,大垣,44
20120510,福井,51
20120510,熊本,87
20120510,小倉,81
20120510,防府,63
20120511,川崎,34
20120511,熊本,87
20120511,防府,63
20120511,大垣,44
20120512,川崎,34
20120512,前橋,22
20120513,前橋,22
20120513,川崎,34
20120514,岸和田,56
20120514,玉野,61
20120514,武雄,84
20120514,福井,51
20120514,一宮,
20120515,小倉,81
20120515,奈良,53
20120515,福井,51
20120515,武雄,84
20120515,玉野,61
20120515,岸和田,56
20120515,一宮,
20120516,函館,11
20120516,岸和田,56
20120516,玉野,61
20120516,武雄,84
20120516,一宮,
20120516,奈良,53
20120516,福井,51
20120516,小倉,81
20120517,小倉,81
20120517,奈良,53
20120517,前橋,22
20120517,函館,11
20120517,名古屋,42
20120518,松山,75
20120518,前橋,22
20120518,函館,11
20120518,いわき平,13
20120518,別府,86
20120518,名古屋,42
20120519,名古屋,42
20120519,いわき平,13
20120519,松山,75
20120519,川崎,34
20120519,別府,86
20120520,いわき平,13
20120520,松山,75
20120520,川崎,34
20120520,別府,86
20120520,静岡,38
20120521,川崎,34
20120521,別府,86
20120521,静岡,38
20120522,前橋,22
20120522,静岡,38
20120523,岐阜,43
20120523,福井,51
20120523,高知,74
20120523,前橋,22
20120524,福井,51
20120524,久留米,83
20120524,岐阜,43
20120524,前橋,22
20120524,四日市,48
20120524,高知,74
20120525,岐阜,43
20120525,前橋,22
20120525,小倉,81
20120525,高知,74
20120525,四日市,48
20120525,福井,51
20120525,久留米,83
20120526,小倉,81
20120526,久留米,83
20120526,防府,63
20120526,宇都宮,24
20120526,四日市,48
20120527,宇都宮,24
20120527,防府,63
20120527,函館,11
20120528,函館,11
20120528,宇都宮,24
20120528,防府,63
20120529,宇都宮,24
20120529,函館,11
20120530,広島,62
20120531,広島,62
20120531,福井,51
20120531,前橋,22
20120531,熊本,87
20120601,岐阜,43
20120601,前橋,22
20120601,広島,62
20120601,福井,51
20120601,熊本,87
20120602,四日市,48
20120602,岐阜,43
20120602,いわき平,13
20120602,静岡,38
20120602,熊本,87
20120602,福井,51
20120603,四日市,48
20120603,いわき平,13
20120603,岐阜,43
20120603,静岡,38
20120604,いわき平,13
20120604,大垣,44
20120604,静岡,38
20120604,四日市,48
20120605,小倉,81
20120605,大垣,44
20120605,岸和田,56
20120606,大垣,44
20120606,岸和田,56
20120606,小倉,81
20120607,川崎,34
20120607,岸和田,56
20120607,小倉,81
20120607,防府,63
20120608,川崎,34
20120608,いわき平,13
20120608,防府,63
20120609,いわき平,13
20120609,川崎,34
20120609,防府,63
20120610,いわき平,13
20120610,和歌山,55
20120610,前橋,22
20120610,川崎,34
20120611,前橋,22
20120611,宇都宮,24
20120611,熊本,87
20120611,大垣,44
20120611,武雄,84
20120611,和歌山,55
20120611,小松島,73
20120611,福井,51
20120611,玉野,61
20120612,和歌山,55
20120612,大垣,44
20120612,玉野,61
20120612,小松島,73
20120612,武雄,84
20120612,福井,51
20120612,前橋,22
20120612,熊本,87
20120612,宇都宮,24
20120613,福井,51
20120613,武雄,84
20120613,宇都宮,24
20120613,熊本,87
20120613,小松島,73
20120613,大垣,44
20120613,玉野,61
20120614,松山,75
20120614,函館,11
20120615,函館,11
20120615,松山,75
20120616,函館,11
20120616,松山,75
20120617,函館,11
20120618,福井,51
20120618,静岡,38
20120618,奈良,53
20120618,松阪,47
20120618,川崎,34
20120618,久留米,83
20120618,大垣,44
20120619,川崎,34
20120619,静岡,38
20120619,別府,86
20120619,久留米,83
20120619,大垣,44
20120619,松阪,47
20120619,福井,51
20120619,奈良,53
20120620,奈良,53
20120620,大垣,44
20120620,静岡,38
20120620,福井,51
20120620,松阪,47
20120620,川崎,34
20120620,久留米,83
20120620,別府,86
20120621,高知,74
20120621,平塚,35
20120621,奈良,53
20120621,別府,86
20120621,和歌山,55
20120622,小倉,81
20120622,平塚,35
20120622,豊橋,45
20120622,高知,74
20120622,和歌山,55
20120623,和歌山,55
20120623,小倉,81
20120623,平塚,35
20120623,豊橋,45
20120623,高知,74
20120624,豊橋,45
20120625,豊橋,45
20120626,名古屋,42
20120626,玉野,61
20120626,青森,12
20120626,高知,74
20120626,別府,86
20120626,宇都宮,24
20120626,松阪,47
20120627,松阪,47
20120627,名古屋,42
20120627,青森,12
20120627,別府,86
20120627,玉野,61
20120627,宇都宮,24
20120627,高知,74
20120628,別府,86
20120628,宇都宮,24
20120628,久留米,83
20120628,名古屋,42
20120628,高知,74
20120628,玉野,61
20120628,函館,11
20120628,青森,12
20120628,松阪,47
20120629,松山,75
20120629,函館,11
20120629,岐阜,43
20120629,久留米,83
20120630,久留米,83
20120630,函館,11
20120630,松山,75
20120630,岐阜,43
20120701,平塚,35
20120701,松山,75
20120701,静岡,38
20120701,岐阜,43
20120702,静岡,38
20120702,平塚,35
20120702,岐阜,43
20120702,広島,62
20120703,広島,62
20120703,静岡,38
20120703,名古屋,42
20120703,平塚,35
20120704,名古屋,42
20120704,広島,62
20120704,函館,11
20120705,小松島,73
20120705,函館,11
20120705,名古屋,42
20120706,小松島,73
20120706,函館,11
20120707,小松島,73
20120707,奈良,53
20120708,奈良,53
20120708,小倉,81
20120708,青森,12
20120708,小松島,73
20120708,宇都宮,24
20120709,豊橋,45
20120709,玉野,61
20120709,岸和田,56
20120709,奈良,53
20120709,防府,63
