date,place
2012-04-25,広島
2012-04-25,四日市
2012-04-25,松山
2012-04-25,和歌山
2012-04-25,岐阜
2012-04-25,高知
2012-04-26,広島
2012-04-26,和歌山
2012-04-26,別府
2012-04-26,四日市
2012-04-26,高知
2012-04-27,名古屋
2012-04-27,函館
2012-04-28,函館
2012-04-28,名古屋
2012-04-29,函館
2012-04-29,名古屋
2012-04-30,名古屋
2012-05-01,岐阜
2012-05-01,熊本
2012-05-01,広島
2012-05-01,玉野
2012-05-01,福井
2012-05-01,静岡
2012-05-01,松阪
2012-05-02,岐阜
2012-05-02,静岡
2012-05-02,玉野
2012-05-02,熊本
2012-05-02,武雄
2012-05-02,松阪
2012-05-02,広島
2012-05-02,福井
2012-05-03,静岡
2012-05-03,福井
2012-05-03,高知
2012-05-03,玉野
2012-05-03,松阪
2012-05-03,熊本
2012-05-03,武雄
2012-05-03,広島
2012-05-03,岐阜
2012-05-04,武雄
2012-05-04,函館
2012-05-04,平塚
2012-05-04,岸和田
2012-05-04,高知
2012-05-05,高知
2012-05-05,平塚
2012-05-05,函館
2012-05-05,岸和田
2012-05-06,岸和田
2012-05-06,平塚
2012-05-06,名古屋
2012-05-06,函館
2012-05-07,平塚
2012-05-07,名古屋
2012-05-08,名古屋
2012-05-08,福井
2012-05-08,小倉
2012-05-09,福井
2012-05-09,大垣
2012-05-09,防府
2012-05-09,小倉
2012-05-09,熊本
2012-05-10,大垣
2012-05-10,福井
2012-05-10,熊本
2012-05-10,小倉
2012-05-10,防府
2012-05-11,川崎
2012-05-11,熊本
2012-05-11,防府
2012-05-11,大垣
2012-05-12,川崎
2012-05-12,前橋
2012-05-13,前橋
2012-05-13,川崎
2012-05-14,岸和田
2012-05-14,玉野
2012-05-14,武雄
2012-05-14,福井
2012-05-14,一宮
2012-05-15,小倉
2012-05-15,奈良
2012-05-15,福井
2012-05-15,武雄
2012-05-15,玉野
2012-05-15,岸和田
2012-05-15,一宮
2012-05-16,函館
2012-05-16,岸和田
2012-05-16,玉野
2012-05-16,武雄
2012-05-16,一宮
2012-05-16,奈良
2012-05-16,福井
2012-05-16,小倉
2012-05-17,小倉
2012-05-17,奈良
2012-05-17,前橋
2012-05-17,函館
2012-05-17,名古屋
2012-05-18,松山
2012-05-18,前橋
2012-05-18,函館
2012-05-18,いわき平
2012-05-18,別府
2012-05-18,名古屋
2012-05-19,名古屋
2012-05-19,いわき平
2012-05-19,松山
2012-05-19,川崎
2012-05-19,別府
2012-05-20,いわき平
2012-05-20,松山
2012-05-20,川崎
2012-05-20,別府
2012-05-20,静岡
2012-05-21,川崎
2012-05-21,別府
2012-05-21,静岡
2012-05-22,前橋
2012-05-22,静岡
2012-05-23,岐阜
2012-05-23,福井
2012-05-23,高知
2012-05-23,前橋
2012-05-24,福井
2012-05-24,久留米
2012-05-24,岐阜
2012-05-24,前橋
2012-05-24,四日市
2012-05-24,高知
2012-05-25,岐阜
2012-05-25,前橋
2012-05-25,小倉
2012-05-25,高知
2012-05-25,四日市
2012-05-25,福井
2012-05-25,久留米
2012-05-26,小倉
2012-05-26,久留米
2012-05-26,防府
2012-05-26,宇都宮
2012-05-26,四日市
2012-05-27,宇都宮
2012-05-27,防府
2012-05-27,函館
2012-05-28,函館
2012-05-28,宇都宮
2012-05-28,防府
2012-05-29,宇都宮
2012-05-29,函館
2012-05-30,広島
2012-05-31,広島
2012-05-31,福井
2012-05-31,前橋
2012-05-31,熊本
2012-06-01,岐阜
2012-06-01,前橋
2012-06-01,広島
2012-06-01,福井
2012-06-01,熊本
2012-06-02,四日市
2012-06-02,岐阜
2012-06-02,いわき平
2012-06-02,静岡
2012-06-02,熊本
2012-06-02,福井
2012-06-03,四日市
2012-06-03,いわき平
2012-06-03,岐阜
2012-06-03,静岡
2012-06-04,いわき平
2012-06-04,大垣
2012-06-04,静岡
2012-06-04,四日市
2012-06-05,小倉
2012-06-05,大垣
2012-06-05,岸和田
2012-06-06,大垣
2012-06-06,岸和田
2012-06-06,小倉
2012-06-07,川崎
2012-06-07,岸和田
2012-06-07,小倉
2012-06-07,防府
2012-06-08,川崎
2012-06-08,いわき平
2012-06-08,防府
2012-06-09,いわき平
2012-06-09,川崎
2012-06-09,防府
2012-06-10,いわき平
2012-06-10,和歌山
2012-06-10,前橋
2012-06-10,川崎
2012-06-11,前橋
2012-06-11,宇都宮
2012-06-11,熊本
2012-06-11,大垣
2012-06-11,武雄
2012-06-11,和歌山
2012-06-11,小松島
2012-06-11,福井
2012-06-11,玉野
2012-06-12,和歌山
2012-06-12,大垣
2012-06-12,玉野
2012-06-12,小松島
2012-06-12,武雄
2012-06-12,福井
2012-06-12,前橋
2012-06-12,熊本
2012-06-12,宇都宮
2012-06-13,福井
2012-06-13,武雄
2012-06-13,宇都宮
2012-06-13,熊本
2012-06-13,小松島
2012-06-13,大垣
2012-06-13,玉野
2012-06-14,松山
2012-06-14,函館
2012-06-15,函館
2012-06-15,松山
2012-06-16,函館
2012-06-16,松山
2012-06-17,函館
2012-06-18,福井
2012-06-18,静岡
2012-06-18,奈良
2012-06-18,松阪
2012-06-18,川崎
2012-06-18,久留米
2012-06-18,大垣
2012-06-19,川崎
2012-06-19,静岡
2012-06-19,別府
2012-06-19,久留米
2012-06-19,大垣
2012-06-19,松阪
2012-06-19,福井
2012-06-19,奈良
2012-06-20,奈良
2012-06-20,大垣
2012-06-20,静岡
2012-06-20,福井
2012-06-20,松阪
2012-06-20,川崎
2012-06-20,久留米
2012-06-20,別府
2012-06-21,高知
2012-06-21,平塚
2012-06-21,奈良
2012-06-21,別府
2012-06-21,和歌山
2012-06-22,小倉
2012-06-22,平塚
2012-06-22,豊橋
2012-06-22,高知
2012-06-22,和歌山
2012-06-23,和歌山
2012-06-23,小倉
2012-06-23,平塚
2012-06-23,豊橋
2012-06-23,高知
2012-06-24,豊橋
2012-06-25,豊橋
2012-06-26,名古屋
2012-06-26,玉野
2012-06-26,青森
2012-06-26,高知
2012-06-26,別府
2012-06-26,宇都宮
2012-06-26,松阪
2012-06-27,松阪
2012-06-27,名古屋
2012-06-27,青森
2012-06-27,別府
2012-06-27,玉野
2012-06-27,宇都宮
2012-06-27,高知
2012-06-28,別府
2012-06-28,宇都宮
2012-06-28,久留米
2012-06-28,名古屋
2012-06-28,高知
2012-06-28,玉野
2012-06-28,函館
2012-06-28,青森
2012-06-28,松阪
2012-06-29,松山
2012-06-29,函館
2012-06-29,岐阜
2012-06-29,久留米
2012-06-30,久留米
2012-06-30,函館
2012-06-30,松山
2012-06-30,岐阜
2012-07-01,平塚
2012-07-01,松山
2012-07-01,静岡
2012-07-01,岐阜
2012-07-02,静岡
2012-07-02,平塚
2012-07-02,岐阜
2012-07-02,広島
2012-07-03,広島
2012-07-03,静岡
2012-07-03,名古屋
2012-07-03,平塚
2012-07-04,名古屋
2012-07-04,広島
2012-07-04,函館
2012-07-05,小松島
2012-07-05,函館
2012-07-05,名古屋
2012-07-06,小松島
2012-07-06,函館
2012-07-07,小松島
2012-07-07,奈良
2012-07-08,奈良
2012-07-08,小倉
2012-07-08,青森
2012-07-08,小松島
2012-07-08,宇都宮
2012-07-09,豊橋
2012-07-09,玉野
2012-07-09,岸和田
2012-07-09,奈良
2012-07-09,防府
2012-07-09,宇都宮
2012-07-09,小倉
2012-07-09,松山
2012-07-09,熊本
2012-07-09,青森
2012-07-10,宇都宮
2012-07-10,一宮
2012-07-10,玉野
2012-07-10,小倉
